City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,kajaani,64.2273,27.7285,-0.97,86,100,3.6,FI,1667704557
285,deputatskiy,69.3,139.9,-20.33,95,100,3.53,RU,1667704557
286,maracaju,-21.6144,-55.1683,15.96,67,65,2.54,BR,1667704558
287,mana,5.6592,-53.7767,25.05,87,87,2.08,GF,1667704558
288,hwange,-18.3693,26.5019,23.55,69,95,1.05,ZW,1667704559
289,kankakee,41.15,-87.8667,7.17,86,0,5.66,US,1667704559
290,ust-maya,60.4167,134.5333,-11.36,90,100,1.3,RU,1667704560
291,ornskoldsvik,63.2909,18.7153,5.53,100,100,4.63,SE,1667704560
292,terra santa,-2.1042,-56.4869,24.7,78,99,1.14,BR,1667704273
293,novyy urgal,51.0736,132.5642,-3.7,41,2,2.16,RU,1667704562
294,wageningen,51.9667,5.6667,10.48,88,100,5.66,NL,1667704562
295,te anau,-45.4167,167.7167,17.44,42,12,1.63,NZ,1667704563
296,new norfolk,-42.7826,147.0587,23.73,35,65,1.34,AU,1667704564
297,harper,4.375,-7.7169,25.25,87,81,3.08,LR,1667704564
298,mount isa,-20.7333,139.5,31.87,25,75,2.57,AU,1667704565
299,coahuayana,18.7333,-103.6833,23.75,95,17,0.84,MX,1667704565
300,merritt island,28.5392,-80.672,26.72,82,0,2.57,US,1667704566
301,vila velha,-20.3297,-40.2925,19.97,83,20,3.6,BR,1667704467
302,zuwarah,32.9312,12.082,18.1,56,0,7.96,LY,1667704567
303,kankon,15.0167,74.0167,27.54,64,6,2.51,IN,1667704567
304,itapetinga,-15.2489,-40.2478,19.58,84,100,1.21,BR,1667704568
305,glen allen,37.666,-77.5064,21.79,81,97,1.34,US,1667704523
306,huambo,-12.7761,15.7392,15.31,72,100,1.6,AO,1667704569
307,komsomolskiy,40.4272,71.7189,9.4,87,90,1.03,UZ,1667704569
308,kantemirovka,49.7089,39.8592,1.78,92,100,2.27,RU,1667704570
309,beloha,-25.1667,45.05,23.4,66,99,1.56,MG,1667704571
310,santa catalina,9.3337,122.8637,30.99,68,77,0.86,PH,1667704571
311,menongue,-14.6585,17.691,16.43,91,62,0.87,AO,1667704572
312,sonoita,31.85,-112.8333,17.47,26,100,1.11,MX,1667704572
313,iskateley,67.6803,53.1512,-0.4,93,93,2.51,RU,1667704573
